Year,State,0,1,2,Total
2015,AK,2,0,0,2
2015,AL,11,3,0,14
2015,AR,2,3,0,5
2015,AZ,33,39,1,73
2015,CA,145,100,9,254
2015,CO,6,28,6,40
2015,CT,0,2,0,2
2015,DC,3,5,0,8
2015,DE,7,11,2,20
2015,FL,74,48,0,122
2015,GA,56,66,1,123
2015,HI,7,8,0,15
2015,IA,1,1,0,2
2015,ID,6,5,0,11
2015,IL,35,26,1,62
2015,IN,3,1,0,4
2015,KY,4,7,0,11
2015,LA,22,7,4,33
2015,MA,16,4,0,20
2015,MD,45,35,0,80
2015,MI,14,6,0,20
2015,MN,0,0,1,1
2015,MO,6,9,0,15
2015,MS,14,0,0,14
2015,MT,2,0,0,2
2015,NC,28,41,2,71
2015,NE,0,11,0,11
2015,NH,5,0,0,5
2015,NJ,15,11,2,28
2015,NM,3,13,0,16
2015,NV,26,16,0,42
2015,NY,22,35,0,57
2015,OH,22,28,0,50
2015,OK,10,18,0,28
2015,OR,6,5,0,11
2015,PA,27,19,0,46
2015,RI,1,3,0,4
2015,SC,14,12,0,26
2015,SD,0,1,0,1
2015,TN,23,35,0,58
2015,TX,81,83,0,164
2015,UT,1,14,0,15
2015,VA,32,37,5,74
2015,WA,13,20,0,33
2015,WI,3,13,0,16
2015,WV,1,2,0,3
2016,AK,3,2,0,5
2016,AL,6,2,0,8
2016,AR,15,15,0,30
2016,AZ,36,26,0,62
2016,CA,182,159,5,346
2016,CO,20,13,0,33
2016,CT,5,0,0,5
2016,DC,11,0,0,11
2016,DE,3,0,0,3
2016,FL,153,104,7,264
2016,GA,60,107,0,167
2016,HI,5,10,0,15
2016,ID,4,2,0,6
2016,IL,32,42,0,74
2016,IN,21,9,2,32
2016,KS,8,2,0,10
2016,KY,12,23,0,35
2016,LA,10,6,2,18
2016,MA,1,4,0,5
2016,MD,28,52,3,83
2016,MI,20,20,15,55
2016,MN,8,34,0,42
2016,MO,30,16,0,46
2016,MS,4,6,0,10
2016,NC,28,47,5,80
2016,ND,2,0,1,3
2016,NE,2,4,0,6
2016,NJ,9,35,2,46
2016,NM,18,3,0,21
2016,NV,12,29,0,41
2016,NY,38,34,5,77
2016,OH,16,31,3,50
2016,OK,2,4,0,6
2016,OR,6,28,1,35
2016,PA,31,13,2,46
2016,RI,4,2,0,6
2016,SC,26,32,0,58
2016,SD,5,0,0,5
2016,TN,16,18,0,34
2016,TX,132,127,10,269
2016,UT,5,6,2,13
2016,VA,54,61,0,115
2016,WA,57,37,0,94
2016,WI,6,7,0,13
2016,WV,0,3,0,3
2016,WY,1,0,0,1
2017,AK,5,0,0,5
2017,AL,3,1,0,4
2017,AR,0,2,0,2
2017,AZ,16,5,3,24
2017,CA,64,73,7,144
2017,CO,8,9,0,17
2017,CT,3,1,0,4
2017,DC,1,0,0,1
2017,FL,55,43,1,99
2017,GA,27,31,0,58
2017,HI,2,2,0,4
2017,ID,1,0,0,1
2017,IL,10,10,0,20
2017,IN,1,4,0,5
2017,KS,0,4,0,4
2017,KY,0,9,0,9
2017,LA,2,0,0,2
2017,MA,3,7,0,10
2017,MD,20,11,0,31
2017,ME,2,6,0,8
2017,MI,7,5,0,12
2017,MN,3,3,0,6
2017,MS,6,4,0,10
2017,NC,29,13,0,42
2017,NE,0,3,0,3
2017,NH,1,0,0,1
2017,NJ,9,5,0,14
2017,NM,2,3,0,5
2017,NV,7,8,0,15
2017,NY,16,5,0,21
2017,OH,16,7,0,23
2017,OR,13,3,0,16
2017,PA,4,10,0,14
2017,SC,7,13,0,20
2017,SD,1,0,0,1
2017,TN,7,15,2,24
2017,TX,42,53,0,95
2017,UT,6,9,0,15
2017,VA,11,24,0,35
2017,WA,9,12,0,21
2017,WI,4,0,0,4
All,AK,10,2,0,12
All,AL,20,6,0,26
All,AR,17,20,0,37
All,AZ,85,70,4,159
All,CA,391,332,21,744
All,CO,34,50,6,90
All,CT,8,3,0,11
All,DC,15,5,0,20
All,DE,10,11,2,23
All,FL,282,195,8,485
All,GA,143,204,1,348
All,HI,14,20,0,34
All,IA,1,1,0,2
All,ID,11,7,0,18
All,IL,77,78,1,156
All,IN,25,14,2,41
All,KS,8,6,0,14
All,KY,16,39,0,55
All,LA,34,13,6,53
All,MA,20,15,0,35
All,MD,93,98,3,194
All,ME,2,6,0,8
All,MI,41,31,15,87
All,MN,11,37,1,49
All,MO,36,25,0,61
All,MS,24,10,0,34
All,MT,2,0,0,2
All,NC,85,101,7,193
All,ND,2,0,1,3
All,NE,2,18,0,20
All,NH,6,0,0,6
All,NJ,33,51,4,88
All,NM,23,19,0,42
All,NV,45,53,0,98
All,NY,76,74,5,155
All,OH,54,66,3,123
All,OK,12,22,0,34
All,OR,25,36,1,62
All,PA,62,42,2,106
All,RI,5,5,0,10
All,SC,47,57,0,104
All,SD,6,1,0,7
All,TN,46,68,2,116
All,TX,255,263,10,528
All,UT,12,29,2,43
All,VA,97,122,5,224
All,WA,79,69,0,148
All,WI,13,20,0,33
All,WV,1,5,0,6
All,WY,1,0,0,1
